   -50  10192000 
 00000  10132500
 00050  10072000
 00100  10012000
 00150   9953500
 00200   9894500
 00250   9835700
 00300   9777200
 00350   9719000
 00400   9661100
 00450   9603400
 00500   9546000
 00550   9488900
 00600   9432100
 00650   9375600
 00700   9319300
 00750   9263300
 00800   9207600
 00850   9152100
 00900   9097000
 00950   9042000
 01000   8987400
 01050   8933000
 01100   8878900
 01150   8825100
 01200   8771500
 01250   8718200
 01300   8665100
 01350   8612400
 01400   8559800
 01450   8507600
 01500   8455500
 01550   8403800
 01600   8352300
 01650   8301100
 01700   8250100
 01750   8199300
 01800   8148900
 01850   8098600
 01900   8048700
 01950   7998900
 02000   7949500
 02050   7900200
 02100   7851300
 02150   7802500
 02200   7754000
 02250   7705800
 02300   7657800
 02350   7610000
 02400   7562500
 02450   7515200
 02500   7468200
 02550   7421400
 02600   7374800
 02650   7328500
 02700   7282400
 02750   7236600
 02800   7191000
 02850   7145600
 02900   7100400
 02950   7055500
 03000   7010800
 03050   6966300
 03100   6922100
 03150   6878100
 03200   6834300
 03250   6790800
 03300   6747400
 03350   6704300
 03400   6661500
 03450   6618800
 03500   6576400
 03550   6534100
 03600   6492100
 03650   6450400
 03700   6408800
 03750   6367500
 03800   6326300
 03850   6285400
 03900   6244700
 03950   6204200
 04000   6164000
 04050   6123900
 04100   6084100
 04150   6044400
 04200   6005000
 04250   5965800
 04300   5926800
 04350   5888000
 04400   5849400
 04450   5811000
 04500   5772800
 04550   5734800
 04600   5697000
 04650   5659400
 04700   5622000
 04750   5584900
 04800   5547900
 04850   5511100
 04900   5474500
 04950   5438100
 05000   5401900
 05050   5365900
 05100   5330100
 05150   5294500
 05200   5259100
 05250   5223900
 05300   5188900
 05350   5154000
 05400   5119400
 05450   5084900
 05500   5050600
 05550   5016500
 05600   4982600
 05650   4948900
 05700   4915400
 05750   4882000
 05800   4848900
 05850   4815900
 05900   4783100
 05950   4750500
 06000   4718100
 06050   4685800
 06100   4653700
 06150   4621800
 06200   4590100
 06250   4558500
 06300   4527200
 06350   4496000
 06400   4465000
 06450   4434100
 06500   4403400
 06550   4372900
 06600   4342600
 06650   4312400
 06700   4282400
 06750   4252600
 06800   4223000
 06850   4193500
 06900   4164200
 06950   4135000
 07000   4106000
 07050   4077200
 07100   4048500
 07150   4020000
 07200   3991700
 07250   3963500
 07300   3935500
 07350   3907700
 07400   3880000
 07450   3852500
 07500   3825100
 07550   3797900
 07600   3770800
 07650   3743900
 07700   3717200
 07750   3690600
 07800   3664100
 07850   3637900
 07900   3611700
 07950   3585800
 08000   3559900
 08050   3534300
 08100   3508700
 08150   3483400
 08200   3458100
 08250   3433000
 08300   3408100
 08350   3383300
 08400   3358700
 08450   3334200
 08500   3309900
 08550   3285600
 08600   3261600
 08650   3237700
 08700   3213900
 08750   3190300
 08800   3166800
 08850   3143400
 08900   3120200
 08950   3097100
 09000   3074200
 09050   3051400
 09100   3028700
 09150   3006200
 09200   2983800
 09250   2961600
 09300   2939500
 09350   2917500
 09400   2895600
 09450   2873900
 09500   2852300
 09550   2830900
 09600   2809500
 09650   2788300
 09700   2767300
 09750   2746300
 09800   2725500
 09850   2704900
 09900   2684300
 09950   2663900
 10000   2643600
 10050   2623400
 10100   2603400
 10150   2583400
 10200   2563600
 10250   2543900
 10300   2524400
 10350   2505000
 10400   2485600
 10450   2466500
 10500   2447400
 10550   2428400
 10600   2409600
 10650   2390900
 10700   2372300
 10750   2353800
 10800   2335400
 10850   2317200
 10900   2299100
 10950   2281100
 11000   2263200
 11100   2227700
 11200   2192900
 11300   2158600
 11400   2124800
 11500   2091600
 11600   2058800
 11700   2026600
 11800   1994900
 11900   1963700
 12000   1933000
 12100   1902700
 12200   1873000
 12300   1843700
 12400   1814800
 12500   1786400
 12600   1758500
 12700   1731000
 12800   1703900
 12900   1677200
 13000   1651000
 13100   1625200
 13200   1599700
 13300   1574700
 13400   1550100
 13500   1525800
 13600   1501900
 13700   1478400
 13800   1455300
 13900   1432500
 14000   1410100
 14100   1388100
 14200   1366300
 14300   1345000
 14400   1323900
 14500   1303200
 14600   1282800
 14700   1262800
 14800   1243000
 14900   1223500
 15000   1204400
 15100   1185600
 15200   1167000
 15300   1148800
 15400   1130800
